method,sparse_rate,sparse_seed,anchor_count,anchor_count_std,valid_count,valid_count_std,mw_anchor_count,mw_anchor_count_std,mw_design_rank,mw_design_rank_std,rmse,rmse_std,mae,mae_std,median_ae,median_ae_std,p90_ae,p90_ae_std,p95_ae,p95_ae_std,bias_db,bias_db_std,std_error_db,std_error_db_std,count,count_std,los_rmse,los_rmse_std,nlos_rmse,nlos_rmse_std,high_wall_rmse,high_wall_rmse_std,unclipped_rmse,unclipped_rmse_std,unclipped_count,unclipped_count_std,clipped_pixel_fraction,clipped_pixel_fraction_std,non_anchor_rmse,non_anchor_rmse_std,non_anchor_mae,non_anchor_mae_std,non_anchor_p90_ae,non_anchor_p90_ae_std,non_anchor_count,non_anchor_count_std,non_anchor_los_rmse,non_anchor_los_rmse_std,non_anchor_nlos_rmse,non_anchor_nlos_rmse_std,free_space_rmse,free_space_rmse_std,free_space_mae,free_space_mae_std,free_space_p90_ae,free_space_p90_ae_std,free_space_count,free_space_count_std,wall_region_rmse,wall_region_rmse_std,rmse_delta_vs_multi_wall,rmse_delta_vs_multi_wall_std,rmse_delta_vs_direct_rf,rmse_delta_vs_direct_rf_std,num_rows,train_source,target_dataset,retrained
wallpath_extra,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,5.2992428670753675,2.444201184987021,3.7138829292477786,1.9437139721809176,2.503341054486799,1.6660302166521759,8.771782145843849,4.106047095208956,11.204680904783643,4.792301454552893,-0.9748262429458717,1.5719993290394658,5.101635905901591,2.1469108733790505,69171.2,62169.63276029986,4.250905619846181,2.6215052355712807,5.3961544484032995,2.480969199688562,5.578237667434498,2.552587549040132,5.0569422257236445,2.056741224223024,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,5.3198296282109885,2.4488822060790483,3.737350896231763,1.9495294664525273,8.803080451638849,4.109722758057356,68479.2,61548.08922805352,4.268193803670511,2.62982319729156,5.417122148919479,2.4856750110640067,5.169244020988701,2.413905376469373,3.619198591730616,1.9192445403107348,8.57963417830768,4.083965642479364,66369.0,60904.145401047186,7.183644220539597,2.9117272418623297,-4.854430715429042,2.169336727297785,-0.5596884868038879,0.7908773360427604,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
multi_wall_residual_idw,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,5.858212252504198,2.111580554861275,4.158060189925872,1.4982165349369396,3.012166428265271,1.1376924585005586,9.288723779154253,3.3397235837741173,11.844216153514278,4.225879040380181,0.0007688163659812752,0.448383942257205,5.844554860871117,2.1021202466052777,69171.2,62169.63276029986,5.905190689058868,3.036095909139875,5.902609845880969,2.1606211032554103,6.041639406982582,2.2253318147883143,5.8646603936721915,2.126819206630623,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,5.887759756686961,2.1222443551951713,4.200110343426197,1.5133858968011697,9.32625759627368,3.3527580431407573,68479.2,61548.08922805352,5.934250957839071,3.0483953117660083,5.93237887946449,2.1715203904497042,5.69133271404656,2.013257529897706,4.065327571898967,1.4597389917407322,9.108731616810635,3.2713310558573467,66369.0,60904.145401047186,8.02383114148064,3.4710630708449397,-4.295461330000211,1.7943827989470897,-0.0007191013750565338,1.7903303464586702,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
direct_rf_all_features,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,5.858931353879256,2.885166632525982,4.312487958089726,2.3626225926876283,3.1536690708538435,2.1574075784149556,9.769024821358759,4.903825043813081,11.96097942751807,5.124706808206514,-1.9865672510546875,2.1352903450193605,5.37670209949081,2.288640296355464,69171.2,62169.63276029986,5.04823162439891,2.482468222139304,5.927484266417726,2.967879649138585,6.101115433639854,3.1101436463111534,5.430514680924485,2.127320187081939,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,5.877208883198358,2.8871167104951105,4.331714634283169,2.3651171070314656,9.795770234331354,4.90243307964758,68479.2,61548.08922805352,5.063213208185223,2.493071523670493,5.946198901418801,2.9697056572248006,5.772657564555162,2.871300674370012,4.2438627897941315,2.347682574062311,9.638981143762399,4.910774754281628,66369.0,60904.145401047186,7.210701516388526,3.1259750658076064,-4.294742228625154,2.3499922400515354,0.0,0.0,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
wallpath_rf,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,6.228303987163668,3.919818043742487,4.208625015213683,2.7754682343153454,2.6557429744961025,1.9358398585642143,10.22013852948541,6.757103667805252,13.483467957264669,8.7280801813551,-1.3980842761279226,2.521982396968675,5.910320172868333,3.3033025712809265,69171.2,62169.63276029986,4.323177713023279,2.697326617482915,6.361273475494658,4.005024375715121,6.613984319296966,4.190176335514596,5.8233653115247535,3.0628727072962616,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,6.246168532197,3.918620219434032,4.23052620313189,2.7783262030963014,10.250609775105039,6.756190478921682,68479.2,61548.08922805352,4.341167633515085,2.705876054810098,6.379401315218511,4.003524554019845,6.093407837231591,3.8998560010649648,4.109500126645372,2.7532657072632056,10.017366788967236,6.740397402433224,66369.0,60904.145401047186,8.166426498208123,4.301242474251905,-3.92536959534074,3.1122477802964172,0.36937263328441394,1.2418850193734885,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
idw,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,6.297565426403915,2.060553071024119,4.671704862225163,1.5978625498884724,3.5478595176902976,1.3225848364849149,10.32361178535599,3.4709119894488496,12.899158281635593,4.246572004120498,-0.1840011999985507,0.5446832743273906,6.275640233314789,2.047572445688368,69171.2,62169.63276029986,11.08322968292357,5.682715322035601,5.977603479623364,2.0061630665994263,5.967453997048804,1.9925869853888907,6.269462441404073,2.0400628532303036,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,6.3293285896000535,2.0709602257600754,4.718949180186332,1.6140416384165757,10.361783033491255,3.482637625360161,68479.2,61548.08922805352,11.136661647274687,5.699717274131518,6.007752326606457,2.01629617353793,6.229962540631742,2.0396563209666962,4.616900433140832,1.5776071491911028,10.208792907096244,3.430192479954269,66369.0,60904.145401047186,7.43752341466256,2.306077294932075,-3.8561081561004937,2.0023383740111758,0.43863407252466097,1.7328599355556513,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
wallpath_calibrated,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,6.299735529097641,2.5030699282905586,4.815669986879503,2.0329811352780753,3.798379065023886,1.8304967657707545,10.27242156647347,4.120967353182599,12.696611760758065,4.913874472344945,-2.927710867877221,1.929415693639143,5.452947233926069,1.9810713899188321,69171.2,62169.63276029986,6.201058983939006,2.8484204696639317,6.250729580486332,2.59003629829687,6.346045704673565,2.6983318342786156,6.1126938256841505,2.2326211993462963,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,6.32183642291214,2.5079214441924753,4.838941125117981,2.0367856816246475,10.304245061401849,4.128303057660291,68479.2,61548.08922805352,6.2232664353986396,2.8581965094986606,6.2728930985940154,2.595260621874267,6.232801194535222,2.4769729180506563,4.769864416229832,2.018230084915258,10.167950273075618,4.083256317308123,66369.0,60904.145401047186,7.295869196908085,2.972699886331371,-3.853938053406768,2.031276181840409,0.4408041752183867,1.3429515817177788,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
direct_extra_all_features,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,7.655418678950694,4.866728541303417,6.069013927595035,4.342377081241862,4.999883157541086,4.3107259893598835,12.404338793367954,7.641145553938409,14.836742076701945,8.012516958168542,-4.739614941557989,4.66960775322788,5.659699535584664,2.447687847314611,69171.2,62169.63276029986,8.68695326664894,4.281332491124865,7.459085275367493,5.0705246936324,7.643450059724389,5.317373173470116,7.127104532846214,3.849208037909768,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,7.669145662171962,4.866445438774177,6.080834250331999,4.339903501803925,12.42721791980503,7.641118345401971,68479.2,61548.08922805352,8.68741242512232,4.284272949748209,7.474554183026933,5.069941705168039,7.6275597224635465,4.876586727865271,6.055894105810303,4.361794338234227,12.3450012441154,7.649291952444652,66369.0,60904.145401047186,8.11784803912033,4.8037552966139625,-2.4982549035537156,3.7475688958784734,1.796487325071439,2.2029608746771845,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
multi_wall,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,10.15367358250441,3.270500084382472,8.096838785119958,2.7039662606447714,6.956989099657213,2.5372828690210314,16.25813698459316,5.21666726995434,19.348465882636404,6.069606613805802,0.006228865376297354,0.5828011970322561,10.139427312773627,3.2632911804115152,69171.2,62169.63276029986,10.860338302625898,4.684347313933118,10.121669140197238,3.2730846523503434,10.216386589320106,3.335379705391426,10.116825460592722,3.235399413589489,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,10.155808156912009,3.2716327716999034,8.098068568470241,2.7044610499960187,16.260246815208916,5.217476426685503,68479.2,61548.08922805352,10.862691763391645,4.687114778443844,10.12375347300861,3.274310318666212,10.054743634419038,3.231854006943518,8.045992573059356,2.6941442669019686,16.157813259073205,5.198707451201847,66369.0,60904.145401047186,11.538583520314859,4.156717904466939,0.0,0.0,4.294742228625154,2.3499922400515354,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
log_distance,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,11.500914394582404,3.5960765353526547,9.36759193549285,3.053892706153667,8.271594849835646,2.9676117929037846,18.598586889387253,5.787862864039283,21.742695488285374,6.724262944911744,-0.03610013802098619,0.680491072791838,11.483971123996081,3.58629473337415,69171.2,62169.63276029986,14.26928133066185,5.641783646328464,11.211170906934566,3.5252447733130725,11.106416477725903,3.520968893037244,11.449554498107446,3.530341394609756,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,11.501811697584126,3.59641910711464,9.368215960811924,3.0541457819305586,18.599846509297688,5.788448008157938,68479.2,61548.08922805352,14.271913983250395,5.6458769484486995,11.211835570706134,3.5255768872627127,11.484255238359491,3.594233165230764,9.355607194857555,3.0533779706297453,18.567805530273162,5.7830775821475555,66369.0,60904.145401047186,11.803707764318927,3.672124058647368,1.3472408120779926,1.480711942737503,5.641983040703147,2.544820213615351,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
direct_rf_sparse_anchor,0.01,11,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,12.244484088264533,3.878671363759092,10.08043166276571,3.4369789614613495,9.101418102539338,3.725576318547394,19.583330336132565,5.895767790146185,22.65112208615552,6.611929554310525,-4.616232405206554,3.9231868544469823,10.689398647815258,3.7434822841941573,69171.2,62169.63276029986,12.055252956191632,6.284012395435863,12.176101822027258,3.8373150244776646,12.01886121765122,3.768462918050425,11.972578640028088,3.634340537913571,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,12.245080468732898,3.8788251111982737,10.081000548912598,3.4371192559359107,19.58431830861547,5.896016570101339,68479.2,61548.08922805352,12.056135603655637,6.284418760508229,12.176687610697993,3.837484713132167,12.257246409573025,3.903702951436858,10.104877881831952,3.4678615484174733,19.58516488564981,5.931232750231244,66369.0,60904.145401047186,11.812858751165672,3.8295364280048205,2.0908105057601234,2.79657803560862,6.385552734385278,2.8110222319987805,5550,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
