method,sparse_rate,sparse_seed,anchor_count,anchor_count_std,valid_count,valid_count_std,mw_anchor_count,mw_anchor_count_std,mw_design_rank,mw_design_rank_std,rmse,rmse_std,mae,mae_std,median_ae,median_ae_std,p90_ae,p90_ae_std,p95_ae,p95_ae_std,bias_db,bias_db_std,std_error_db,std_error_db_std,count,count_std,los_rmse,los_rmse_std,nlos_rmse,nlos_rmse_std,high_wall_rmse,high_wall_rmse_std,unclipped_rmse,unclipped_rmse_std,unclipped_count,unclipped_count_std,clipped_pixel_fraction,clipped_pixel_fraction_std,non_anchor_rmse,non_anchor_rmse_std,non_anchor_mae,non_anchor_mae_std,non_anchor_p90_ae,non_anchor_p90_ae_std,non_anchor_count,non_anchor_count_std,non_anchor_los_rmse,non_anchor_los_rmse_std,non_anchor_nlos_rmse,non_anchor_nlos_rmse_std,free_space_rmse,free_space_rmse_std,free_space_mae,free_space_mae_std,free_space_p90_ae,free_space_p90_ae_std,free_space_count,free_space_count_std,wall_region_rmse,wall_region_rmse_std,rmse_delta_vs_multi_wall,rmse_delta_vs_multi_wall_std,rmse_delta_vs_direct_rf,rmse_delta_vs_direct_rf_std,num_rows
direct_extra_all_features,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.2193322454894373,0.962329604377759,2.178041837692261,0.6971307248758081,1.350992156982422,0.5248635462985303,5.374278579711914,1.6604888963339304,7.019759515762329,2.095852844289049,-0.26480251843295993,0.4910702565365156,3.180104320526123,0.9311120687335305,69171.2,62288.73393528756,0.7523375454534228,0.34664233700721464,3.3452439293707563,1.0004252876909148,3.494417600268006,1.0185133191234566,3.2193322454894373,0.962329604377759,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.2258970996022045,0.9636243459049997,2.1847513241767884,0.6987793574703125,5.384833045005799,1.6615838936891527,68825.0,61977.186267776655,0.7528332298885153,0.346765655035858,3.3520884757514686,1.0018035569626906,3.1324796298664412,0.953486245005935,2.10436714720726,0.6814238305717234,5.226633295059204,1.6600753823938004,66369.0,61020.822224712116,4.462946626975194,0.8803679314877985,-2.830914241937676,1.2484928601036547,-0.006096369477359528,0.1237448735041855,250
direct_rf_all_features,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.225428614966797,0.9186013604784883,2.1552715020179747,0.666547698028205,1.3172956809997558,0.5044793223220018,5.359704669952393,1.5565361301976106,7.0353851919174195,1.974830917211091,-0.214590833902359,0.4781260106319172,3.1884173798561095,0.8987341316252677,69171.2,62288.73393528756,0.7789879793334185,0.3821557392951504,3.351877423233545,0.9584303381759186,3.5036537635593943,0.975079548453695,3.225428614966797,0.9186013604784883,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.232345099757331,0.9202999637321023,2.1625285828113556,0.6687735176765673,5.371161685943603,1.5588759231101448,68825.0,61977.186267776655,0.7796508312378019,0.3825357454840227,3.359081411797949,0.9602218585665934,3.1328854106608373,0.9039941767784704,2.078623178958893,0.648727220218402,5.2011409749984745,1.5467562225267195,66369.0,61020.822224712116,4.518946796351822,0.8995226989658054,-2.824817872460317,1.2088920327606405,0.0,0.0,250
wallpath_extra,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.3137691180919835,0.9196767241690826,2.2254988594055174,0.6715521041787778,1.3788040313720704,0.5226415991130904,5.422307808876037,1.4909972010333632,7.138953617095948,1.8957819097032698,-0.0040359672617632895,0.3853629809358221,3.2956575689315795,0.9043755656608632,69171.2,62288.73393528756,1.4944049823182561,0.8567991812367314,3.4272922669722794,0.9606656951112728,3.5694234579080812,0.9858183378042445,3.3137691180919835,0.9196767241690826,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.3216271265202177,0.9217856732536222,2.234610496044159,0.6743384161727011,5.434176107406616,1.4931996927033895,68825.0,61977.186267776655,1.4976553422871208,0.8587591813718417,3.4354278311487683,0.9628945729729433,3.2128351374160395,0.893296680669353,2.151597128391266,0.6505328102467522,5.268572957038879,1.465242924834445,66369.0,61020.822224712116,4.7024046054318,1.1155939487448308,-2.7364773693351303,1.1417295924054747,0.08834050312518646,0.28832722698828356,250
wallpath_rf,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.3271036762972104,0.9444766450343864,2.2153694109916686,0.6883178458684059,1.3518544235229493,0.537899701559182,5.432223628997803,1.5093808534475788,7.177566235542297,1.9168245539716107,-0.016168120089918376,0.3974159356385023,3.3077288546562196,0.9291544283596863,69171.2,62288.73393528756,1.662800334370121,0.9794656136162484,3.4374770968768305,0.9846155552780319,3.582621031727932,1.0086099454732975,3.3271036762972104,0.9444766450343864,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.334919651834922,0.9466573001052492,2.2241708221435545,0.6910849029091447,5.444414149284363,1.5119886603803798,68825.0,61977.186267776655,1.6664958761586575,0.9818933336203672,3.4455617460039676,0.9869183979639274,3.2212444793800823,0.9149309910785209,2.1394521732330323,0.6663226251146183,5.274029747962952,1.484783046162036,66369.0,61020.822224712116,4.757156740556523,1.2049981030095989,-2.7231428111299034,1.1272352421235121,0.10167506133041354,0.27045319063418916,250
wallpath_calibrated,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.3391750134065057,0.8809598311060741,2.3106417198181153,0.6244878945224323,1.5030615425109863,0.4655399651267153,5.549327217102051,1.5405431141593233,7.198002353668213,1.9553600162058475,-0.3877094250507653,0.5588258082869088,3.277731453895569,0.8494032954070365,69171.2,62288.73393528756,0.8657062961417961,0.40651692485808144,3.4694964575923724,0.9188872570243785,3.6256280854182252,0.9372826867182246,3.3391750134065057,0.8809598311060741,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.3464932393182862,0.882554510688068,2.318948271751404,0.6266353375633523,5.560507552146912,1.542571123897317,68825.0,61977.186267776655,0.8672709107546909,0.40735916759105945,3.4771159478899363,0.9206185857073876,3.252100097242418,0.8648224409119148,2.240474214553833,0.6076395367034935,5.405825196266174,1.5257293429171943,66369.0,61020.822224712116,4.569544263446069,0.930818455680102,-2.711071474020608,1.1624186939181023,0.11374639843970859,0.1866040596399814,250
multi_wall_residual_idw,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,4.076827956608604,1.313569911047558,2.7294841780662535,0.701197919380784,1.8747697219848634,0.5061122548598027,6.143110667228699,1.5581055843972549,8.011981786727905,2.1289954279884666,0.023444225244165864,0.422446860589422,4.0590507574081425,1.3008892894611934,69171.2,62288.73393528756,3.5490758316748265,2.0972964033477948,4.150111575538542,1.3968392473244637,4.294953050473614,1.4547202321620563,4.076827956608604,1.313569911047558,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,4.087074762986536,1.3168759248193744,2.74322203540802,0.7047333942850084,6.156361946105957,1.561487394008913,68825.0,61977.186267776655,3.5576757463273063,2.1013214838468786,4.160548226044716,1.4004061419055454,3.925842997268095,1.1917357545481353,2.656211812019348,0.6775925292564796,6.013460773468018,1.528960159169164,66369.0,61020.822224712116,5.904151269766262,2.9291856917610213,-1.9734185308185095,0.8592008452563829,0.8513993416418071,0.8177607191025511,250
idw,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,4.7695305422617,1.1364291689664843,3.5110924978256226,0.8515645097197515,2.632903022766113,0.6856777399731656,7.798210704803467,1.8983254501366453,9.794577615737914,2.410330212438471,-0.10909185907314531,0.6293920423211605,4.7341166172027584,1.105500121925301,69171.2,62288.73393528756,8.941321515484104,4.046684184589179,4.483555463658962,1.1240965209175688,4.453830236676336,1.0847302537733348,4.7695305422617,1.1364291689664843,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,4.7815182672068355,1.1392915035551874,3.528764216423035,0.8558591481983885,7.812898880004883,1.901687669629813,68825.0,61977.186267776655,8.962153632027848,4.0499403622899255,4.494827424332099,1.1269464120733748,4.729851351524792,1.1308675356181759,3.477702682495117,0.8461346739731886,7.733500827789307,1.892703220019992,66369.0,61020.822224712116,5.44209294061354,1.0558969779514098,-1.280715945165413,1.2654504751751532,1.544101927294904,0.5873219086102094,250
direct_rf_sparse_anchor,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,5.031049560671516,1.0727488041175937,3.646162070274353,0.8698115650420813,2.6708919944763183,0.9462803274190336,8.46652098274231,1.85443918439207,10.527715934753418,2.296193463560888,-0.9973421859182418,1.0317273631567163,4.828615009307861,1.045162602000558,69171.2,62288.73393528756,0.8144029921654423,0.41190515423003393,5.233443317366466,1.1300116190134608,5.507928504393379,1.1159599931091857,5.031049560671516,1.0727488041175937,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,5.031276271005269,1.0730019019580284,3.6462697620391844,0.8700341515426568,8.46710990524292,1.8546946838102827,68825.0,61977.186267776655,0.8144397056640915,0.4120515924480017,5.233688272800896,1.1303055207395343,4.959660725849655,1.0696647716066294,3.577962685585022,0.8725057739998214,8.356026453018188,1.845652435086428,66369.0,61020.822224712116,6.035317407527546,1.167698449078324,-1.0191969267555985,1.0266036807018664,1.8056209457047183,0.7350657287476009,250
multi_wall,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,6.050246487427113,1.4484962221217463,4.596842618942261,1.045720657050524,3.7533039474487304,1.0268489121217947,9.421213659286499,1.9927080790570646,11.561758037567138,2.459048082853451,0.03151614020625129,0.501723288226668,6.031986163139344,1.4381023575354446,69171.2,62288.73393528756,5.854903584951806,2.5582521243525824,6.093708123678838,1.5069412628085952,6.251569670276017,1.5539381269813177,6.050246487427113,1.4484962221217463,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,6.051751623514418,1.4500610686540822,4.597522473335266,1.045847813809084,9.422498958587646,1.9929710438407735,68825.0,61977.186267776655,5.856228323513712,2.561322644981696,6.095201431608024,1.5087864023151387,5.93675871646279,1.3783459123211455,4.5446879014968875,1.0469274626872203,9.324038471221924,1.999217365786882,66369.0,61020.822224712116,7.546182171787372,2.877663911816282,0.0,0.0,2.824817872460317,1.2088920327606405,250
direct_rf_geometry,0.005,11,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,6.720886441152598,2.2212062573804467,4.824202167510986,1.7477297104936305,3.4853884544372558,1.6650812610499546,11.328916774749755,3.856650904808463,14.163866195678711,4.697735028544246,-1.9289834005106241,2.7605741070633973,5.995082500457763,1.6866214528956196,69171.2,62288.73393528756,0.8159445948708133,0.47002524152808745,6.980703623927372,2.2796149043162552,7.355596631890656,2.2947787280037186,6.720886441152598,2.2212062573804467,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,6.720810166554564,2.2211399073931823,4.82396941947937,1.7476142277036286,11.329477157592773,3.857528216152571,68825.0,61977.186267776655,0.8159461457993636,0.47025063659883576,6.980637189372759,2.279575498037825,6.644164862775949,2.23332864461224,4.749685531616211,1.7586405897995128,11.213664028167724,3.8672030524862544,66369.0,61020.822224712116,7.844639244572989,2.1723866289106892,0.6706399537254845,1.9827943853768877,3.4954578261858016,1.723687162108291,250
