row_uid,scenario,config,source_file,coord,distance_m,target_pl_db,method,pred_pl_db,error_db,abs_error_db,split,random_seed,fold
PL_Comms_C1.csv::K-2,Comms,C1,PL_Comms_C1.csv,K-2,27.65863337,105.0,log_distance,104.9645843878113,-0.03541561218870015,0.03541561218870015,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-3,Comms,C1,PL_Comms_C1.csv,E-3,26.0,108.0,log_distance,103.9272911230149,-4.072708876985104,4.072708876985104,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-3,Comms,C1,PL_Comms_C1.csv,F-3,26.01922366,95.0,log_distance,103.93968835190259,8.93968835190259,8.93968835190259,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-3,Comms,C1,PL_Comms_C1.csv,G-3,26.07680962,100.0,log_distance,103.97677046903371,3.97677046903371,3.97677046903371,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-3,Comms,C1,PL_Comms_C1.csv,H-3,26.17250466,99.0,log_distance,104.03821195468034,5.038211954680335,5.038211954680335,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-3,Comms,C1,PL_Comms_C1.csv,I-3,26.30589288,96.0,log_distance,104.12348077151044,8.123480771510444,8.123480771510444,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-3,Comms,C1,PL_Comms_C1.csv,J-3,26.47640459,99.0,log_distance,104.23185345320684,5.231853453206838,5.231853453206838,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::K-3,Comms,C1,PL_Comms_C1.csv,K-3,26.68332813,106.0,log_distance,104.36243496547746,-1.637565034522538,1.637565034522538,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-4,Comms,C1,PL_Comms_C1.csv,A-4,25.3179778,118.0,log_distance,103.48142247253637,-14.518577527463634,14.518577527463634,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-4,Comms,C1,PL_Comms_C1.csv,E-4,25.0,109.0,log_distance,103.26942445884679,-5.730575541153215,5.730575541153215,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-4,Comms,C1,PL_Comms_C1.csv,F-4,25.01999201,97.0,log_distance,103.28283249755339,6.282832497553386,6.282832497553386,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-4,Comms,C1,PL_Comms_C1.csv,G-4,25.07987241,93.0,log_distance,103.3229284688617,10.322928468861704,10.322928468861704,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-4,Comms,C1,PL_Comms_C1.csv,H-4,25.17935662,100.0,log_distance,103.3893320176776,3.389332017677603,3.389332017677603,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-4,Comms,C1,PL_Comms_C1.csv,I-4,25.3179778,115.0,log_distance,103.48142247253637,-11.518577527463634,11.518577527463634,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-4,Comms,C1,PL_Comms_C1.csv,J-4,25.49509757,116.0,log_distance,103.59835779227039,-12.401642207729608,12.401642207729608,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::K-4,Comms,C1,PL_Comms_C1.csv,K-4,25.70992026,103.0,log_distance,103.73909941898695,0.7390994189869531,0.7390994189869531,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-5,Comms,C1,PL_Comms_C1.csv,A-5,24.33105012,115.0,log_distance,102.81448644058926,-12.185513559410737,12.185513559410737,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::B-5,Comms,C1,PL_Comms_C1.csv,B-5,24.18677324,115.0,log_distance,102.7147281260867,-12.285271873913302,12.285271873913302,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::C-5,Comms,C1,PL_Comms_C1.csv,C-5,24.08318916,111.0,log_distance,102.64273863410601,-8.35726136589399,8.35726136589399,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-5,Comms,C1,PL_Comms_C1.csv,D-5,24.0208243,116.0,log_distance,102.59924644454094,-13.400753555459062,13.400753555459062,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-5,Comms,C1,PL_Comms_C1.csv,E-5,24.0,109.0,log_distance,102.58469878201441,-6.415301217985586,6.415301217985586,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-5,Comms,C1,PL_Comms_C1.csv,F-5,24.0208243,93.0,log_distance,102.59924644454094,9.599246444540938,9.599246444540938,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-5,Comms,C1,PL_Comms_C1.csv,G-5,24.08318916,91.0,log_distance,102.64273863410601,11.64273863410601,11.64273863410601,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-5,Comms,C1,PL_Comms_C1.csv,H-5,24.18677324,86.0,log_distance,102.7147281260867,16.714728126086698,16.714728126086698,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-5,Comms,C1,PL_Comms_C1.csv,I-5,24.33105012,108.0,log_distance,102.81448644058926,-5.185513559410737,5.185513559410737,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-5,Comms,C1,PL_Comms_C1.csv,J-5,24.51530134,101.0,log_distance,102.94102785706541,1.9410278570654071,1.9410278570654071,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-6,Comms,C1,PL_Comms_C1.csv,D-6,23.02172887,105.0,log_distance,101.88666618397482,-3.1133338160251753,3.1133338160251753,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-6,Comms,C1,PL_Comms_C1.csv,E-6,23.0,110.0,log_distance,101.87082722499935,-8.129172775000654,8.129172775000654,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-6,Comms,C1,PL_Comms_C1.csv,F-6,23.02172887,94.0,log_distance,101.88666618397482,7.886666183974825,7.886666183974825,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-6,Comms,C1,PL_Comms_C1.csv,G-6,23.08679276,90.0,log_distance,101.9340043583559,11.934004358355907,11.934004358355907,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-6,Comms,C1,PL_Comms_C1.csv,H-6,23.19482701,99.0,log_distance,102.01231235068869,3.0123123506886884,3.0123123506886884,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-6,Comms,C1,PL_Comms_C1.csv,I-6,23.34523506,109.0,log_distance,102.12072951006127,-6.879270489938733,6.879270489938733,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-6,Comms,C1,PL_Comms_C1.csv,J-6,23.53720459,107.0,log_distance,102.25809477089786,-4.741905229102144,4.741905229102144,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-7,Comms,C1,PL_Comms_C1.csv,A-7,22.36067977,117.0,log_distance,101.39798087425321,-15.602019125746793,15.602019125746793,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::B-7,Comms,C1,PL_Comms_C1.csv,B-7,22.20360331,112.0,log_distance,101.27973707678365,-10.720262923216353,10.720262923216353,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::C-7,Comms,C1,PL_Comms_C1.csv,C-7,22.09072203,111.0,log_distance,101.19424474472305,-9.80575525527695,9.80575525527695,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-7,Comms,C1,PL_Comms_C1.csv,D-7,22.02271555,112.0,log_distance,101.14252788717178,-10.85747211282822,10.85747211282822,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-7,Comms,C1,PL_Comms_C1.csv,E-7,22.0,112.0,log_distance,101.12521781589506,-10.874782184104944,10.874782184104944,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-7,Comms,C1,PL_Comms_C1.csv,F-7,22.02271555,97.0,log_distance,101.14252788717178,4.142527887171781,4.142527887171781,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-7,Comms,C1,PL_Comms_C1.csv,G-7,22.09072203,88.0,log_distance,101.19424474472305,13.19424474472305,13.19424474472305,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-7,Comms,C1,PL_Comms_C1.csv,H-7,22.20360331,87.0,log_distance,101.27973707678365,14.279737076783647,14.279737076783647,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-7,Comms,C1,PL_Comms_C1.csv,I-7,22.36067977,94.0,log_distance,101.39798087425321,7.397980874253207,7.397980874253207,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-8,Comms,C1,PL_Comms_C1.csv,A-8,21.37755833,118.0,log_distance,100.64380709593817,-17.356192904061828,17.356192904061828,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::B-8,Comms,C1,PL_Comms_C1.csv,B-8,21.21320344,112.0,log_distance,100.51435122003522,-11.485648779964777,11.485648779964777,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::C-8,Comms,C1,PL_Comms_C1.csv,C-8,21.09502311,114.0,log_distance,100.42064381828894,-13.579356181711063,13.579356181711063,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-8,Comms,C1,PL_Comms_C1.csv,D-8,21.02379604,112.0,log_distance,100.36391265403415,-11.636087345965848,11.636087345965848,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-8,Comms,C1,PL_Comms_C1.csv,E-8,21.0,109.0,log_distance,100.34491666779586,-8.655083332204143,8.655083332204143,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-8,Comms,C1,PL_Comms_C1.csv,F-8,21.02379604,85.0,log_distance,100.36391265403415,15.363912654034152,15.363912654034152,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-8,Comms,C1,PL_Comms_C1.csv,G-8,21.09502311,89.0,log_distance,100.42064381828894,11.420643818288937,11.420643818288937,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-8,Comms,C1,PL_Comms_C1.csv,H-8,21.21320344,87.0,log_distance,100.51435122003522,13.514351220035223,13.514351220035223,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-8,Comms,C1,PL_Comms_C1.csv,I-8,21.37755833,98.0,log_distance,100.64380709593817,2.643807095938172,2.643807095938172,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-8,Comms,C1,PL_Comms_C1.csv,J-8,21.58703314,107.0,log_distance,100.80736703846986,-6.192632961530137,6.192632961530137,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-9,Comms,C1,PL_Comms_C1.csv,F-9,20.02498439,96.0,log_distance,99.54747794075254,3.547477940752543,3.547477940752543,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-9,Comms,C1,PL_Comms_C1.csv,G-9,20.09975124,89.0,log_distance,99.60998798293971,10.609987982939714,10.609987982939714,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-9,Comms,C1,PL_Comms_C1.csv,H-9,20.22374842,93.0,log_distance,99.71314703661476,6.713147036614757,6.713147036614757,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-10,Comms,C1,PL_Comms_C1.csv,A-10,19.41648784,110.0,log_distance,99.02988081911128,-10.970119180888716,10.970119180888716,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::B-10,Comms,C1,PL_Comms_C1.csv,B-10,19.23538406,104.0,log_distance,98.87269529364855,-5.1273047063514525,5.1273047063514525,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::C-10,Comms,C1,PL_Comms_C1.csv,C-10,19.10497317,103.0,log_distance,98.75858843007217,-4.241411569927834,4.241411569927834,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-10,Comms,C1,PL_Comms_C1.csv,D-10,19.02629759,106.0,log_distance,98.68937160409575,-7.310628395904246,7.310628395904246,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-10,Comms,C1,PL_Comms_C1.csv,E-10,19.0,103.0,log_distance,98.66617179740126,-4.333828202598738,4.333828202598738,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-10,Comms,C1,PL_Comms_C1.csv,F-10,19.02629759,90.0,log_distance,98.68937160409575,8.689371604095754,8.689371604095754,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-10,Comms,C1,PL_Comms_C1.csv,G-10,19.10497317,88.0,log_distance,98.75858843007217,10.758588430072166,10.758588430072166,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-10,Comms,C1,PL_Comms_C1.csv,H-10,19.23538406,83.0,log_distance,98.87269529364855,15.872695293648547,15.872695293648547,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-10,Comms,C1,PL_Comms_C1.csv,I-10,19.41648784,118.0,log_distance,99.02988081911128,-18.970119180888716,18.970119180888716,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-10,Comms,C1,PL_Comms_C1.csv,J-10,19.6468827,102.0,log_distance,99.22774195511342,-2.772258044886584,2.772258044886584,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::K-10,Comms,C1,PL_Comms_C1.csv,K-10,19.92485885,104.0,log_distance,99.46339980168447,-4.536600198315526,4.536600198315526,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::L-10,Comms,C1,PL_Comms_C1.csv,L-10,20.24845673,96.0,log_distance,99.73362744523064,3.7336274452306384,3.7336274452306384,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::M-10,Comms,C1,PL_Comms_C1.csv,M-10,20.61552813,101.0,log_distance,100.03497932480491,-0.9650206751950918,0.9650206751950918,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::N-10,Comms,C1,PL_Comms_C1.csv,N-10,21.02379604,107.0,log_distance,100.36391265403415,-6.636087345965848,6.636087345965848,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::O-10,Comms,C1,PL_Comms_C1.csv,O-10,21.47091055,107.0,log_distance,100.71689448022909,-6.283105519770913,6.283105519770913,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::P-10,Comms,C1,PL_Comms_C1.csv,P-10,21.9544984,112.0,log_distance,101.09049012680933,-10.909509873190672,10.909509873190672,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-11,Comms,C1,PL_Comms_C1.csv,A-11,18.43908891,105.0,log_distance,98.16353573823346,-6.836464261766537,6.836464261766537,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::B-11,Comms,C1,PL_Comms_C1.csv,B-11,18.24828759,108.0,log_distance,97.98906563283461,-10.01093436716539,10.01093436716539,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::C-11,Comms,C1,PL_Comms_C1.csv,C-11,18.11077028,104.0,log_distance,97.86218386892688,-6.137816131073123,6.137816131073123,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-11,Comms,C1,PL_Comms_C1.csv,D-11,18.02775638,106.0,log_distance,97.78512306627428,-8.21487693372572,8.21487693372572,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-11,Comms,C1,PL_Comms_C1.csv,E-11,18.0,99.0,log_distance,97.75927797425976,-1.24072202574024,1.24072202574024,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-11,Comms,C1,PL_Comms_C1.csv,F-11,18.02775638,85.0,log_distance,97.78512306627428,12.78512306627428,12.78512306627428,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-11,Comms,C1,PL_Comms_C1.csv,G-11,18.11077028,84.0,log_distance,97.86218386892688,13.862183868926877,13.862183868926877,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-11,Comms,C1,PL_Comms_C1.csv,H-11,18.24828759,84.0,log_distance,97.98906563283461,13.98906563283461,13.98906563283461,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-11,Comms,C1,PL_Comms_C1.csv,I-11,18.43908891,104.0,log_distance,98.16353573823346,-5.836464261766537,5.836464261766537,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-11,Comms,C1,PL_Comms_C1.csv,J-11,18.68154169,102.0,log_distance,98.38264986995945,-3.617350130040549,3.617350130040549,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::K-11,Comms,C1,PL_Comms_C1.csv,K-11,18.97366596,101.0,log_distance,98.64290763481566,-2.357092365184343,2.357092365184343,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::L-11,Comms,C1,PL_Comms_C1.csv,L-11,19.31320792,97.0,log_distance,98.94042157454749,1.9404215745474858,1.9404215745474858,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::M-11,Comms,C1,PL_Comms_C1.csv,M-11,19.6977156,103.0,log_distance,99.27108429987543,-3.728915700124574,3.728915700124574,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::N-11,Comms,C1,PL_Comms_C1.csv,N-11,20.1246118,109.0,log_distance,99.63072155718955,-9.369278442810455,9.369278442810455,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::O-11,Comms,C1,PL_Comms_C1.csv,O-11,20.59126028,114.0,log_distance,100.01522259893049,-13.984777401069508,13.984777401069508,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::P-11,Comms,C1,PL_Comms_C1.csv,P-11,21.09502311,116.0,log_distance,100.42064381828894,-15.579356181711063,15.579356181711063,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-12,Comms,C1,PL_Comms_C1.csv,A-12,17.4642492,116.0,log_distance,97.25245360503045,-18.747546394969547,18.747546394969547,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::B-12,Comms,C1,PL_Comms_C1.csv,B-12,17.2626765,114.0,log_distance,97.05772818813173,-16.942271811868267,16.942271811868267,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::C-12,Comms,C1,PL_Comms_C1.csv,C-12,17.11724277,109.0,log_distance,96.91581744629539,-12.084182553704608,12.084182553704608,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-12,Comms,C1,PL_Comms_C1.csv,D-12,17.02938637,102.0,log_distance,96.82950390928596,-5.170496090714039,5.170496090714039,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-12,Comms,C1,PL_Comms_C1.csv,E-12,17.0,102.0,log_distance,96.80053418765218,-5.199465812347825,5.199465812347825,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-12,Comms,C1,PL_Comms_C1.csv,F-12,17.02938637,98.0,log_distance,96.82950390928596,-1.170496090714039,1.170496090714039,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-12,Comms,C1,PL_Comms_C1.csv,G-12,17.11724277,94.0,log_distance,96.91581744629539,2.9158174462953923,2.9158174462953923,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-12,Comms,C1,PL_Comms_C1.csv,H-12,17.2626765,88.0,log_distance,97.05772818813173,9.057728188131733,9.057728188131733,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-12,Comms,C1,PL_Comms_C1.csv,I-12,17.4642492,103.0,log_distance,97.25245360503045,-5.747546394969547,5.747546394969547,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-12,Comms,C1,PL_Comms_C1.csv,J-12,17.72004515,108.0,log_distance,97.49634970741731,-10.503650292582691,10.503650292582691,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::K-12,Comms,C1,PL_Comms_C1.csv,K-12,18.02775638,102.0,log_distance,97.78512306627428,-4.214876933725719,4.214876933725719,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::M-12,Comms,C1,PL_Comms_C1.csv,M-12,18.78829423,113.0,log_distance,98.47822612078491,-14.52177387921509,14.52177387921509,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::N-12,Comms,C1,PL_Comms_C1.csv,N-12,19.23538406,102.0,log_distance,98.87269529364855,-3.1273047063514525,3.1273047063514525,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::O-12,Comms,C1,PL_Comms_C1.csv,O-12,19.72308292,111.0,log_distance,99.29267176354514,-11.707328236454856,11.707328236454856,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::P-12,Comms,C1,PL_Comms_C1.csv,P-12,20.24845673,104.0,log_distance,99.73362744523064,-4.266372554769362,4.266372554769362,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-13,Comms,C1,PL_Comms_C1.csv,A-13,16.4924225,92.0,log_distance,96.29209215904775,4.292092159047755,4.292092159047755,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::B-13,Comms,C1,PL_Comms_C1.csv,B-13,16.2788206,94.0,log_distance,96.07343145825166,2.0734314582516618,2.0734314582516618,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::C-13,Comms,C1,PL_Comms_C1.csv,C-13,16.1245155,94.0,log_distance,95.91367948647607,1.9136794864760702,1.9136794864760702,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-13,Comms,C1,PL_Comms_C1.csv,D-13,16.03121954,97.0,log_distance,95.81634695819872,-1.1836530418012785,1.1836530418012785,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-13,Comms,C1,PL_Comms_C1.csv,E-13,16.0,95.0,log_distance,95.7836501354688,0.7836501354688039,0.7836501354688039,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-13,Comms,C1,PL_Comms_C1.csv,F-13,16.03121954,87.0,log_distance,95.81634695819872,8.816346958198721,8.816346958198721,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-13,Comms,C1,PL_Comms_C1.csv,G-13,16.1245155,91.0,log_distance,95.91367948647607,4.91367948647607,4.91367948647607,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-13,Comms,C1,PL_Comms_C1.csv,H-13,16.2788206,85.0,log_distance,96.07343145825166,11.073431458251662,11.073431458251662,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-13,Comms,C1,PL_Comms_C1.csv,I-13,16.4924225,106.0,log_distance,96.29209215904775,-9.707907840952245,9.707907840952245,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-13,Comms,C1,PL_Comms_C1.csv,J-13,16.76305461,99.0,log_distance,96.56510188417725,-2.4348981158227474,2.4348981158227474,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::L-13,Comms,C1,PL_Comms_C1.csv,L-13,17.4642492,100.0,log_distance,97.25245360503045,-2.7475463949695467,2.7475463949695467,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::M-13,Comms,C1,PL_Comms_C1.csv,M-13,17.88854382,115.0,log_distance,97.65509371631487,-17.344906283685134,17.344906283685134,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::N-13,Comms,C1,PL_Comms_C1.csv,N-13,18.35755975,109.0,log_distance,98.08920682176232,-10.910793178237682,10.910793178237682,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::P-13,Comms,C1,PL_Comms_C1.csv,P-13,19.41648784,113.0,log_distance,99.02988081911128,-13.970119180888716,13.970119180888716,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-14,Comms,C1,PL_Comms_C1.csv,A-14,15.5241747,93.0,log_distance,95.27725540377665,2.2772554037766497,2.2772554037766497,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::B-14,Comms,C1,PL_Comms_C1.csv,B-14,15.29705854,98.0,log_distance,95.03004982063374,-2.969950179366265,2.969950179366265,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::C-14,Comms,C1,PL_Comms_C1.csv,C-14,15.13274595,95.0,log_distance,94.84890401197251,-0.15109598802749247,0.15109598802749247,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-14,Comms,C1,PL_Comms_C1.csv,D-14,15.03329638,99.0,log_distance,94.73830823692404,-4.261691763075959,4.261691763075959,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-14,Comms,C1,PL_Comms_C1.csv,E-14,15.0,93.0,log_distance,94.70111648940315,1.701116489403148,1.701116489403148,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::F-14,Comms,C1,PL_Comms_C1.csv,F-14,15.03329638,86.0,log_distance,94.73830823692404,8.738308236924041,8.738308236924041,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::G-14,Comms,C1,PL_Comms_C1.csv,G-14,15.13274595,85.0,log_distance,94.84890401197251,9.848904011972508,9.848904011972508,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::H-14,Comms,C1,PL_Comms_C1.csv,H-14,15.29705854,97.0,log_distance,95.03004982063374,-1.9699501793662648,1.9699501793662648,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::I-14,Comms,C1,PL_Comms_C1.csv,I-14,15.5241747,97.0,log_distance,95.27725540377665,-1.7227445962233503,1.7227445962233503,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::J-14,Comms,C1,PL_Comms_C1.csv,J-14,15.8113883,97.0,log_distance,95.58474614995905,-1.4152538500409548,1.4152538500409548,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::L-14,Comms,C1,PL_Comms_C1.csv,L-14,16.55294536,99.0,log_distance,96.35353364729963,-2.6464663527003722,2.6464663527003722,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::A-15,Comms,C1,PL_Comms_C1.csv,A-15,14.56021978,90.0,log_distance,94.20198787504606,4.201987875046058,4.201987875046058,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::B-15,Comms,C1,PL_Comms_C1.csv,B-15,14.31782106,99.0,log_distance,93.92039271533287,-5.079607284667134,5.079607284667134,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::C-15,Comms,C1,PL_Comms_C1.csv,C-15,14.14213562,96.0,log_distance,93.71330256558252,-2.2866974344174764,2.2866974344174764,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::D-15,Comms,C1,PL_Comms_C1.csv,D-15,14.03566885,95.0,log_distance,93.58654865011579,-1.4134513498842125,1.4134513498842125,leave_config_out,33,holdout_C1
PL_Comms_C1.csv::E-15,Comms,C1,PL_Comms_C1.csv,E-15,14.0,98.0,log_distance,93.54386802125023,-4.456131978749767,4.456131978749767,leave_config_out,33,holdout_C1
